 time,value1, value2,value3
1437,3,4.47,2251.41455078125
1438,3,4.47,2250.909912109380
1439,3,4.47,2250.32470703125
1440,3,4.47,2249.57470703125
1441,3,4.47,2248.73486328125
1442,3,4.47,2247.899658203130
1443,3,4.47,2247.399658203130
1444,3,4.47,2246.644775390630
1445,3,4.47,2245.5595703125
1446,3,4.47,2245.0546875
1447,3,4.47,2244.134765625
1448,3,4.47,2243.469482421880
1449,3,4.47,2242.799560546880
1450,3,4.47,2242.214599609380
1451,3,4.47,2241.459716796880
1452,3,4.47,2240.62451171875
1453,3,4.47,2239.874267578130
1454,3,4.47,2239.204345703130
1455,3,4.47,2238.534423828130
1456,3,4.47,2237.869140625
1457,3,4.47,2237.1142578125
1458,3,4.47,2236.760498046880
1459,3,4.47,2235.859375
1460,3,4.47,2235.109130859380
1461,3,4.47,2234.609130859380
1462,3,4.47,2233.85888671875
1463,3,4.47,2233.27392578125
1464,3,4.47,2232.773681640630
1465,3,4.47,2232.018798828130
1466,3,4.49,2231.12255859375
1467,3,4.49,2230.2919921875
1468,3,4.49,2229.537109375
1469,3,4.49,2228.787109375
1470,55,38.95866394042970,78
1471,3,4.49,2228.3671875
1472,3,4.49,2227.281982421880
1473,55,38.95866394042970,78
1474,3,4.47,2226.50830078125
1475,3,4.47,2225.593017578130
1476,3,4.47,2224.838134765630
1477,3,4.47,2224.087890625
1478,3,4.47,2223.337646484380
1479,3,4.47,2222.502685546880
1480,3,4.47,2221.66748046875
1481,3,4.47,2220.83251953125
1482,3,4.49,2219.940673828130
1483,3,4.49,2219.355712890630
1484,3,4.49,2218.1904296875
1485,3,4.47,2217.666748046880
1486,3,4.47,2216.91650390625
1487,3,4.49,2215.93994140625
1488,55,38.95866394042970,78
1489,3,4.49,2214.689697265630
1490,3,4.47,2213.99609375
1491,3,4.47,2213.245849609380
1492,3,4.47,2212.66552734375
1493,3,4.47,2211.99560546875
1494,3,4.47,2211.24560546875
1495,3,4.47,2210.830322265630
1496,3,4.47,2210.080078125
1497,3,4.47,2209.330078125
1498,3,4.47,2208.664794921880
1499,3,4.47,2207.994873046880
1500,3,4.47,2207.32958984375
1501,3,4.47,2206.664306640630
1502,3,4.47,2205.9990234375
1503,3,4.47,2205.3291015625
1504,3,4.47,2204.583740234380
1505,3,4.47,2203.49853515625
1506,3,4.47,2202.748291015630
1507,3,4.47,2202.16796875
1508,3,4.47,2201.3330078125
1509,3,4.47,2200.582763671880
1510,3,4.47,2199.83251953125
1511,3,4.47,2199.087158203130
1512,3,4.47,2198.3369140625
1513,3,4.47,2197.5869140625
1514,3,4.47,2196.921630859380
1515,3,4.47,2196.34130859375
1516,3,4.47,2195.591064453130
1517,3,4.47,2194.841064453130
1518,3,4.47,2194.17578125
1519,3,4.47,2193.675537109380
1520,3,4.47,2192.93017578125
1521,3,4.47,2192.514892578130
1522,3,4.49,2191.70361328125
1523,3,4.47,2191.0146484375
1524,3,4.47,2190.5146484375
1525,3,4.47,2189.76904296875
1526,3,4.47,2189.10400390625
1527,3,4.49,2188.377197265630
1528,3,4.49,2187.3818359375
1529,3,4.49,2186.7119140625
1530,3,4.49,2186.216552734380
1531,3,4.49,2185.30126953125
1532,3,4.49,2184.720947265630
1533,3,4.49,2184.220703125
1534,3,4.49,2183.225341796880
1535,3,4.49,2182.56005859375
1536,3,4.47,2181.9560546875
1537,3,4.47,2181.290771484380
1538,3,4.47,2180.625732421880
1539,3,4.47,2179.87548828125
1540,3,4.49,2179.153564453130
1541,3,4.47,2178.46484375
1542,3,4.49,2177.572998046880
1543,3,4.49,2176.747314453130
1544,3,4.47,2176.05859375
1545,3,4.47,2175.4736328125
1546,3,4.47,2174.72802734375
1547,3,4.47,2173.897705078130
1548,3,4.47,2173.3173828125
1549,3,4.47,2172.402099609380
1550,3,4.47,2171.65673828125
1551,3,4.47,2170.991455078130
1552,3,4.47,2170.49609375
1553,3,4.47,2169.745849609380
1554,3,4.47,2168.91552734375
1555,3,4.47,2168.255126953130
1556,3,4.47,2167.669921875
1557,3,4.47,2166.67919921875
1558,3,4.47,2166.013916015630
1559,3,4.47,2165.513916015630
1560,3,4.47,2164.518310546880
1561,3,4.47,2163.77294921875
1562,3,4.47,2163.277587890630
1563,3,4.47,2162.281982421880
1564,3,4.47,2161.53662109375
1565,3,4.47,2160.791015625
1566,3,4.47,2160.041015625
1567,3,4.47,2159.29541015625
1568,3,4.47,2158.550048828130
1569,3,4.47,2157.8046875
1570,3,4.47,2156.39404296875
1571,3,4.47,2155.318115234380
1572,3,4.47,2154.57275390625
1573,3,4.47,2154.077392578130
1574,3,4.47,2152.9970703125
1575,3,4.47,2152.416748046880
1576,3,4.47,2151.92138671875
1577,3,4.47,2151.17578125
1578,3,4.47,2150.345458984380
1579,3,4.47,2149.85009765625
1580,3,4.47,2149.0244140625
1581,3,4.47,2148.25537109375
1582,3,4.47,2147.448486328130
1583,3,4.47,2146.703125
1584,3,4.47,2145.957763671880
1585,3,4.47,2145.212158203130
1586,3,4.47,2144.532958984380
1587,3,4.47,2143.787353515630
1588,3,4.47,2143.0419921875
1589,3,4.47,2142.3154296875
1590,3,4.47,2141.71630859375
1591,3,4.47,2141.135986328130
1592,3,4.47,2140.1640625
1593,3,4.47,2139.399658203130
1594,3,4.47,2138.5693359375
1595,3,4.47,2137.60205078125
1596,3,4.47,2137.021728515630
1597,3,4.47,2135.92724609375
1598,3,4.47,2134.870361328130
1599,3,4.47,2134.351318359380
1600,3,4.47,2133.46435546875
1601,3,4.47,2132.638671875
1602,3,4.47,2132.058349609380
1603,3,4.47,2130.902587890630
1604,3,4.47,2130.322265625
1605,3,4.47,2129.66162109375
1606,3,4.47,2128.8359375
1607,3,4.47,2128.005615234380
1608,3,4.47,2127.491455078130
1609,3,4.47,2126.42041015625
1610,3,4.47,2125.840087890630
1611,3,4.47,2125.099365234380
1612,3,4.47,2123.938720703130
1613,3,4.47,2123.113037109380
1614,3,4.47,2122.287353515630
1615,3,4.47,2121.4619140625
1616,3,4.47,2120.63623046875
1617,3,4.47,2119.730224609380
1618,3,4.47,2118.89990234375
1619,3,4.47,2118.1591796875
1620,3,4.47,2117.272216796880
1621,3,4.47,2116.446533203130
1622,3,4.47,2115.620849609380
1623,3,4.47,2114.545166015630
1624,3,4.47,2113.9697265625
1625,3,4.47,2113.14404296875
1626,3,4.47,2112.318359375
1627,3,4.47,2111.55859375
1628,3,4.47,2110.733154296880
1629,3,4.47,2109.822509765630
1630,3,4.47,2109.246826171880
1631,3,4.47,2108.506103515630
1632,3,4.47,2107.680419921880
1633,3,4.47,2107.18505859375
1634,3,4.47,2106.279296875
1635,3,4.47,2105.53857421875
1636,3,4.47,2104.958251953130
1637,3,4.47,2104.217529296880
1638,3,4.47,2103.476806640630
1639,3,4.47,2102.816162109380
1640,3,4.47,2101.990478515630
1641,3,4.47,2101.169677734380
1642,3,4.47,2100.42431640625
1643,3,4.47,2099.603271484380
1644,3,4.47,2098.862548828130
1645,3,4.47,2098.0556640625
1646,3,4.47,2097.131103515630
1647,3,4.47,2096.390380859380
1648,3,4.47,2095.729736328130
1649,3,4.47,2094.989013671880
1650,3,4.47,2094.163330078130
1651,3,4.47,2093.422607421880
1652,3,4.47,2091.776123046880
1653,3,4.47,2090.97412109375
1654,3,4.47,2090.478759765630
1655,3,4.47,2089.49267578125
1656,3,4.47,2089.05859375
1657,3,4.47,2088.31787109375
1658,3,4.47,2087.5771484375
1659,3,4.47,2087.08642578125
1660,3,4.47,2086.42578125
1661,3,4.47,2085.538818359380
1662,3,4.47,2085.04833984375
1663,3,4.47,2084.22265625
1664,3,4.47,2083.486572265630
1665,3,4.47,2082.745849609380
1666,3,4.47,2082.005126953130
1667,3,4.47,2081.264404296880
1668,3,4.47,2080.76904296875
1669,3,4.47,2079.782958984380
1670,3,4.47,2079.103515625
1671,3,4.47,2078.28271484375
1672,3,4.47,2077.48046875
1673,3,4.47,2076.65478515625
1674,3,4.47,2075.753662109380
1675,3,4.47,2074.5224609375
1676,3,4.47,2073.78173828125
1677,3,4.47,2073.2060546875
1678,3,4.47,2072.135009765630
1679,3,4.47,2071.394287109380
1680,3,4.47,2070.903564453130
1681,3,4.47,2069.91748046875
1682,3,4.47,2069.427001953130
1683,3,4.47,2068.35595703125
1684,3,4.47,2067.784912109380
1685,3,4.47,2066.95947265625
1686,3,4.47,2066.138427734380
1687,3,4.47,2065.647705078130
1688,3,4.47,2064.906982421880
1689,3,4.47,2064.086181640630
1690,3,4.47,2063.595458984380
1691,3,4.47,2063.10009765625
1692,3,4.47,2062.03369140625
1693,3,4.47,2061.623291015630
1694,3,4.47,2060.802490234380
1695,3,4.47,2060.146484375
1696,3,4.47,2059.40576171875
1697,3,4.47,2058.589599609380
1698,3,4.47,2057.848876953130
1699,3,4.47,2057.028076171880
1700,3,4.47,2056.287353515630
1701,3,4.47,2055.63134765625
1702,3,4.47,2054.9755859375
1703,3,4.47,2054.15478515625
1704,3,4.47,2053.33837890625
1705,3,4.47,2052.517578125
1706,3,4.47,2051.531494140630
1707,3,4.47,2051.040771484380
1708,3,4.47,2050.219970703130
1709,3,4.47,2049.073486328130
1710,3,4.47,2048.417724609380
